"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-01","2020","01","01","","6.6","","-0.7","","3.0","","15.0","","0.0","","","","","","1.4","","8","","13","","60",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-02","2020","01","02","","0.3","","-1.0","","-0.4","","18.4","","0.0","","","","","","0.0","","7","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-03","2020","01","03","","2.1","","-0.7","","0.7","","17.3","","0.0","","","","","","0.0","","7","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-04","2020","01","04","","3.5","","-0.4","","1.6","","16.4","","0.0","","","","","","0.1","","7","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-05","2020","01","05","","0.9","","-2.8","","-0.9","","18.9","","0.0","","","","","","7.5","","6","","3","","48",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-06","2020","01","06","","-1.9","","-7.0","","-4.4","","22.4","","0.0","","","","","","5.0","","8","","2","","35",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-07","2020","01","07","","1.3","","-7.3","","-3.0","","21.0","","0.0","","","","","","2.1","","13","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-08","2020","01","08","","-0.6","","-7.9","","-4.2","","22.2","","0.0","","","","","","20.2","","13","","2","","48",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-09","2020","01","09","","-2.7","","-6.3","","-4.5","","22.5","","0.0","","","","","","2.0","","26","","34","","42",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-10","2020","01","10","","2.8","","-6.3","","-1.7","","19.7","","0.0","","","","","","0.0","","22","","20","","35",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-11","2020","01","11","","11.1","","0.2","","5.6","","12.4","","0.0","","","","","","31.7","","18","","22","","38",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-12","2020","01","12","","0.2","","-5.7","","-2.8","","20.8","","0.0","","","","","","","M","15","","2","","32",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-13","2020","01","13","","-2.5","","-9.3","","-5.9","","23.9","","0.0","","","","","","","M","27","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-14","2020","01","14","","-3.1","","-10.7","","-6.9","","24.9","","0.0","","","","","","","M","27","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-15","2020","01","15","","-1.3","","-11.2","","-6.2","","24.2","","0.0","","","","","","","M","26","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-16","2020","01","16","","-1.4","","-5.4","","-3.4","","21.4","","0.0","","","","","","","M","26","","36","","31",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-17","2020","01","17","","-3.1","","-11.7","","-7.4","","25.4","","0.0","","","","","","","M","28","","2","","57",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-18","2020","01","18","","-7.7","","-9.5","","-8.6","","26.6","","0.0","","","","","","","M","19","","36","","45",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-19","2020","01","19","","-0.9","","-9.1","","-5.0","","23.0","","0.0","","","","","","","M","19","","18","","67",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-20","2020","01","20","","-3.1","","-7.0","","-5.1","","23.1","","0.0","","","","","","","M","19","","35","","38",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-21","2020","01","21","","-6.6","","-9.6","","-8.1","","26.1","","0.0","","","","","","","M","19","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-22","2020","01","22","","","M","","M","","M","","M","","M","","","","","","M","18","","","M","","M"
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-23","2020","01","23","","2.6","","-12.7","","-5.1","","23.1","","0.0","","","","","","","M","19","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-24","2020","01","24","","0.8","","-10.3","","-4.7","","22.7","","0.0","","","","","","","M","19","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-25","2020","01","25","","0.8","","-13.1","","-6.1","","24.1","","0.0","","","","","","","M","18","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-26","2020","01","26","","8.6","","-8.4","","0.1","","17.9","","0.0","","","","","","","M","18","","16","","63",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-27","2020","01","27","","7.1","","0.2","","3.7","","14.3","","0.0","","","","","","","M","4","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-28","2020","01","28","","0.7","","-3.5","","-1.4","","19.4","","0.0","","","","","","","M","3","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-29","2020","01","29","","","M","","M","","M","","M","","M","","","","","","M","11","","","M","","M"
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-30","2020","01","30","","-3.8","","-10.8","","-7.3","","25.3","","0.0","","","","","","3.5","","18","","4","","39",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-01-31","2020","01","31","","-0.8","","-7.1","","-4.0","","22.0","","0.0","","","","","","0.0","","13","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-02-01","2020","02","01","","1.2","","-9.6","","-4.2","","22.2","","0.0","","","","","","1.1","","12","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-02-02","2020","02","02","","0.2","","-3.8","","-1.8","","19.8","","0.0","","","","","","7.0","","15","","35","","35",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-02-03","2020","02","03","","-0.9","","-4.2","","-2.5","","20.5","","0.0","","","","","","0.2","","14","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-02-04","2020","02","04","","1.2","","-4.9","","-1.8","","19.8","","0.0","","","","","","0.0","","14","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-02-05","2020","02","05","","1.3","","-6.5","","-2.6","","20.6","","0.0","","","","","","0.1","","14","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-02-06","2020","02","06","","-4.1","","-7.8","","-5.9","","23.9","","0.0","","","","","","0.6","","13","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-02-07","2020","02","07","","10.7","","-4.5","","3.1","","14.9","","0.0","","","","","","7.0","","15","","16","","69",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-02-08","2020","02","08","","4.9","","-8.0","","-1.5","","19.5","","0.0","","","","","","1.1","","11","","22","","47",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-02-09","2020","02","09","","-7.6","","-15.8","","-11.7","","29.7","","0.0","","","","","","0.0","","13","","","","",""
"-60.95","46.65","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","2020-02-10","2020","02","10","","1.8","","-14.9","","-6.5","","24.5","","0.0","","","","","","7.4","","12","","18","","36",""
